UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",4853,"R",0,"R",250,"R",4603,"A",,"A",,"A",,"A",,"A",
100654, 2,"R",4093,"R",0,"R",233,"R",3860,"A",,"A",,"A",,"A",,"A",
100654, 3,"R",4081,"R",0,"R",221,"R",3860,"A",,"A",,"A",,"A",,"A",
100654,11,"R",12,"R",0,"R",12,"R",0,"A",,"A",,"A",,"A",,"A",
100654,12,"R",760,"R",0,"R",17,"R",743,"A",,"A",,"A",,"A",,"A",
100663, 1,"R",17999,"R",2761,"R",4082,"R",11156,"R",1892,"R",853,"R",1,"R",15,"R",0
100663, 2,"R",11291,"R",781,"R",3537,"R",6973,"R",723,"R",57,"R",1,"R",0,"R",0
100663, 3,"R",11014,"R",748,"R",3505,"R",6761,"R",691,"R",56,"R",1,"Z",0,"R",0
100663,11,"R",277,"R",33,"R",32,"R",212,"R",32,"R",1,"Z",0,"R",0,"R",0
100663,12,"R",6708,"R",1980,"R",545,"R",4183,"R",1169,"R",796,"Z",0,"R",15,"R",0
100690, 1,"R",703,"R",703,"Z",0,"Z",0,"R",285,"R",367,"Z",0,"Z",0,"R",51
100690, 2,"R",338,"R",338,"Z",0,"Z",0,"R",172,"R",137,"Z",0,"Z",0,"R",29
100690, 3,"R",338,"R",338,"Z",0,"Z",0,"R",172,"R",137,"Z",0,"Z",0,"R",29
100690,12,"R",365,"R",365,"Z",0,"Z",0,"R",113,"R",230,"Z",0,"Z",0,"R",22
100706, 1,"R",7636,"R",267,"R",295,"R",7074,"R",229,"R",38,"Z",0,"Z",0,"R",0
100706, 2,"R",5882,"R",44,"R",136,"R",5702,"R",37,"R",7,"Z",0,"Z",0,"R",0
100706, 3,"R",5703,"R",42,"R",132,"R",5529,"R",36,"R",6,"Z",0,"Z",0,"R",0
100706,11,"R",179,"R",2,"R",4,"R",173,"R",1,"R",1,"Z",0,"Z",0,"R",0
100706,12,"R",1754,"R",223,"R",159,"R",1372,"R",192,"R",31,"Z",0,"Z",0,"R",0
100724, 1,"R",5816,"R",0,"R",1996,"R",3820,"A",,"A",,"A",,"A",,"A",
100724, 2,"R",5130,"R",0,"R",1620,"R",3510,"A",,"A",,"A",,"A",,"A",
100724, 3,"R",5123,"R",0,"R",1620,"R",3503,"A",,"A",,"A",,"A",,"A",
100724,11,"R",7,"R",0,"R",0,"R",7,"A",,"A",,"A",,"A",,"A",
100724,12,"R",686,"R",0,"R",376,"R",310,"A",,"A",,"A",,"A",,"A",
100751, 1,"R",33503,"R",2960,"R",4577,"R",25966,"R",1582,"R",1333,"R",6,"R",39,"R",0
100751, 2,"R",28026,"R",1462,"R",4152,"R",22412,"R",985,"R",461,"R",2,"R",14,"R",0
100751, 3,"R",27364,"R",1213,"R",4138,"R",22013,"R",749,"R",449,"R",1,"R",14,"R",0
100751,11,"R",662,"R",249,"R",14,"R",399,"R",236,"R",12,"R",1,"Z",0,"R",0
100751,12,"R",5477,"R",1498,"R",425,"R",3554,"R",597,"R",872,"R",4,"R",25,"R",0
100760, 1,"R",2021,"R",127,"R",424,"R",1470,"R",121,"Z",0,"R",6,"Z",0,"R",0
100760, 2,"R",2021,"R",127,"R",424,"R",1470,"R",121,"Z",0,"R",6,"Z",0,"R",0
100760, 3,"R",1898,"R",115,"R",409,"R",1374,"R",112,"Z",0,"R",3,"Z",0,"R",0
100760,11,"R",123,"R",12,"R",15,"R",96,"R",9,"Z",0,"R",3,"Z",0,"R",0
100812, 1,"R",3415,"R",1270,"R",2035,"R",110,"R",1213,"R",57,"R",0,"R",0,"R",0
100812, 2,"R",3415,"R",1270,"R",2035,"R",110,"R",1213,"R",57,"R",0,"R",0,"R",0
100812, 3,"R",3250,"R",1152,"R",2001,"R",97,"R",1100,"R",52,"R",0,"R",0,"R",0
100812,11,"R",165,"R",118,"R",34,"R",13,"R",113,"R",5,"R",0,"R",0,"R",0
