UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",6106,"R",120,"R",1089,"R",4897,"R",87,"R",16,"R",17,"Z",0,"R",0
100654, 2,"R",5143,"R",76,"R",899,"R",4168,"R",56,"R",14,"R",6,"Z",0,"R",0
100654, 3,"R",4990,"R",75,"R",894,"R",4021,"R",55,"R",14,"R",6,"Z",0,"R",0
100654,11,"R",153,"R",1,"R",5,"R",147,"R",1,"R",0,"R",0,"Z",0,"R",0
100654,12,"R",963,"R",44,"R",190,"R",729,"R",31,"R",2,"R",11,"Z",0,"R",0
100663, 1,"R",21923,"R",5603,"R",6935,"R",9385,"R",3915,"R",1674,"Z",0,"R",7,"R",7
100663, 2,"R",13836,"R",2442,"R",5962,"R",5432,"R",2074,"R",366,"Z",0,"Z",0,"R",2
100663, 3,"R",13186,"R",2027,"R",5919,"R",5240,"R",1663,"R",362,"Z",0,"Z",0,"R",2
100663,11,"R",650,"R",415,"R",43,"R",192,"R",411,"R",4,"Z",0,"Z",0,"R",0
100663,12,"R",8087,"R",3161,"R",973,"R",3953,"R",1841,"R",1308,"Z",0,"R",7,"R",5
100690, 1,"R",755,"R",755,"A",,"A",,"R",441,"R",253,"Z",0,"Z",0,"R",61
100690, 2,"R",351,"R",351,"A",,"A",,"R",226,"R",125,"Z",0,"Z",0,"R",0
100690, 3,"R",351,"R",351,"A",,"A",,"R",226,"R",125,"Z",0,"Z",0,"R",0
100690,12,"R",404,"R",404,"A",,"A",,"R",215,"R",128,"Z",0,"Z",0,"R",61
100706, 1,"R",9736,"R",638,"R",2044,"R",7054,"R",428,"R",210,"Z",0,"Z",0,"R",0
100706, 2,"R",7671,"R",176,"R",1682,"R",5813,"R",153,"R",23,"Z",0,"Z",0,"R",0
100706, 3,"R",7458,"R",166,"R",1680,"R",5612,"R",146,"R",20,"Z",0,"Z",0,"R",0
100706,11,"R",213,"R",10,"R",2,"R",201,"R",7,"R",3,"Z",0,"Z",0,"R",0
100706,12,"R",2065,"R",462,"R",362,"R",1241,"R",275,"R",187,"Z",0,"Z",0,"R",0
100724, 1,"R",4413,"R",437,"R",296,"R",3680,"R",316,"R",110,"R",11,"R",0,"R",0
100724, 2,"R",3903,"R",360,"R",243,"R",3300,"R",244,"R",107,"R",9,"R",0,"R",0
100724, 3,"R",3903,"R",360,"R",243,"R",3300,"R",244,"R",107,"R",9,"R",0,"R",0
100724,12,"R",510,"R",77,"R",53,"R",380,"R",72,"R",3,"R",2,"R",0,"R",0
100751, 1,"R",38390,"R",3786,"R",11148,"R",23456,"R",1874,"R",1826,"R",54,"R",32,"R",0
100751, 2,"R",33028,"R",2198,"R",10350,"R",20480,"R",1160,"R",989,"R",28,"R",21,"R",0
100751, 3,"R",32177,"R",2096,"R",10291,"R",19790,"R",1083,"R",964,"R",28,"R",21,"R",0
100751,11,"R",851,"R",102,"R",59,"R",690,"R",77,"R",25,"R",0,"R",0,"R",0
100751,12,"R",5362,"R",1588,"R",798,"R",2976,"R",714,"R",837,"R",26,"R",11,"R",0
100760, 1,"R",1681,"R",139,"R",527,"R",1015,"R",139,"R",0,"R",0,"R",0,"R",0
100760, 2,"R",1681,"R",139,"R",527,"R",1015,"R",139,"R",0,"R",0,"R",0,"R",0
100760, 3,"R",1211,"R",93,"R",477,"R",641,"R",93,"R",0,"R",0,"R",0,"R",0
100760,11,"R",470,"R",46,"R",50,"R",374,"R",46,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",3044,"R",2049,"R",773,"R",222,"R",1943,"R",106,"R",0,"R",0,"R",0
100812, 2,"R",2885,"R",1891,"R",773,"R",221,"R",1797,"R",94,"R",0,"R",0,"R",0
100812, 3,"R",2732,"R",1753,"R",770,"R",209,"R",1668,"R",85,"R",0,"R",0,"R",0
100812,11,"R",153,"R",138,"R",3,"R",12,"R",129,"R",9,"R",0,"R",0,"R",0
100812,12,"R",159,"R",158,"R",0,"R",1,"R",146,"R",12,"R",0,"R",0,"R",0
100830, 1,"R",5211,"R",610,"R",1873,"R",2728,"R",548,"R",29,"R",33,"Z",0,"R",0
100830, 2,"R",4632,"R",371,"R",1708,"R",2553,"R",347,"R",19,"R",5,"Z",0,"R",0
100830, 3,"R",4529,"R",347,"R",1703,"R",2479,"R",324,"R",19,"R",4,"Z",0,"R",0
100830,11,"R",103,"R",24,"R",5,"R",74,"R",23,"Z",0,"R",1,"Z",0,"R",0
100830,12,"R",579,"R",239,"R",165,"R",175,"R",201,"R",10,"R",28,"Z",0,"R",0
100858, 1,"R",30440,"R",1508,"R",5589,"R",23343,"R",608,"R",876,"Z",0,"R",24,"R",0
100858, 2,"R",24628,"R",303,"R",5197,"R",19128,"R",119,"R",180,"Z",0,"R",4,"R",0
100858, 3,"R",24147,"R",302,"R",5196,"R",18649,"R",118,"R",180,"Z",0,"R",4,"R",0
100858,11,"R",481,"R",1,"R",1,"R",479,"R",1,"Z",0,"Z",0,"Z",0,"R",0
100858,12,"R",5812,"R",1205,"R",392,"R",4215,"R",489,"R",696,"Z",0,"R",20,"R",0
100937, 1,"R",1268,"R",0,"R",0,"R",1268,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",1268,"R",0,"R",0,"R",1268,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",1265,"R",0,"R",0,"R",1265,"A",,"A",,"A",,"A",,"A",
100937,11,"R",3,"R",0,"R",0,"R",3,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1568,"R",60,"R",381,"R",1127,"R",46,"R",14,"R",0,"R",0,"R",0
101028, 2,"R",1568,"R",60,"R",381,"R",1127,"R",46,"R",14,"R",0,"R",0,"R",0
101028, 3,"R",1446,"R",55,"R",354,"R",1037,"R",41,"R",14,"R",0,"R",0,"R",0
101028,11,"R",122,"R",5,"R",27,"R",90,"R",5,"R",0,"R",0,"R",0,"R",0
101116, 1,"R",390,"Z",0,"R",203,"R",187,"A",,"A",,"A",,"A",,"A",
101116, 2,"R",321,"Z",0,"R",169,"R",152,"A",,"A",,"A",,"A",,"A",
101116, 3,"R",321,"Z",0,"R",169,"R",152,"A",,"A",,"A",,"A",,"A",
101116,12,"R",69,"Z",0,"R",34,"R",35,"A",,"A",,"A",,"A",,"A",
101143, 1,"R",1705,"R",179,"R",469,"R",1057,"R",175,"R",4,"R",0,"R",0,"R",0
101143, 2,"R",1705,"R",179,"R",469,"R",1057,"R",175,"R",4,"R",0,"R",0,"R",0
101143, 3,"R",1269,"R",106,"R",397,"R",766,"R",103,"R",3,"R",0,"R",0,"R",0
