UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5628,"R",45,"R",820,"R",4763,"R",39,"R",6,"Z",0,"Z",0,"R",0
100654, 2,"R",4505,"R",38,"R",760,"R",3707,"R",32,"R",6,"Z",0,"Z",0,"R",0
100654, 3,"R",4505,"R",38,"R",760,"R",3707,"R",32,"R",6,"Z",0,"Z",0,"R",0
100654,12,"R",1123,"R",7,"R",60,"R",1056,"R",7,"Z",0,"Z",0,"Z",0,"R",0
100663, 1,"R",18333,"R",3712,"R",8659,"R",5962,"R",2513,"R",1129,"R",0,"R",70,"R",0
100663, 2,"R",11511,"R",1407,"R",5633,"R",4471,"R",1201,"R",194,"R",0,"R",12,"R",0
100663, 3,"R",11269,"R",1373,"R",5572,"R",4324,"R",1168,"R",193,"R",0,"R",12,"R",0
100663,11,"R",242,"R",34,"R",61,"R",147,"R",33,"R",1,"R",0,"R",0,"R",0
100663,12,"R",6822,"R",2305,"R",3026,"R",1491,"R",1312,"R",935,"R",0,"R",58,"R",0
100690, 1,"R",627,"R",627,"A",,"A",,"R",298,"R",328,"Z",0,"Z",0,"R",1
100690, 2,"R",308,"R",308,"A",,"A",,"R",178,"R",130,"Z",0,"Z",0,"R",0
100690, 3,"R",308,"R",308,"A",,"A",,"R",178,"R",130,"Z",0,"Z",0,"R",0
100690,12,"R",319,"R",319,"A",,"A",,"R",120,"R",198,"Z",0,"Z",0,"R",1
100706, 1,"R",7866,"R",379,"R",569,"R",6918,"R",307,"R",72,"R",0,"R",0,"R",0
100706, 2,"R",6013,"R",30,"R",301,"R",5682,"R",28,"R",2,"R",0,"R",0,"R",0
100706, 3,"R",5829,"R",28,"R",301,"R",5500,"R",26,"R",2,"R",0,"R",0,"R",0
100706,11,"R",184,"R",2,"R",0,"R",182,"R",2,"R",0,"R",0,"R",0,"R",0
100706,12,"R",1853,"R",349,"R",268,"R",1236,"R",279,"R",70,"R",0,"R",0,"R",0
100724, 1,"R",5383,"R",310,"R",363,"R",4710,"R",260,"R",44,"R",5,"R",1,"R",0
100724, 2,"R",4764,"R",186,"R",309,"R",4269,"R",151,"R",30,"R",4,"R",1,"R",0
100724, 3,"R",4740,"R",178,"R",309,"R",4253,"R",143,"R",30,"R",4,"R",1,"R",0
100724,11,"R",24,"R",8,"R",0,"R",16,"R",8,"Z",0,"R",0,"R",0,"R",0
100724,12,"R",619,"R",124,"R",54,"R",441,"R",109,"R",14,"R",1,"Z",0,"R",0
100751, 1,"R",37098,"R",3394,"R",6264,"R",27440,"R",1901,"R",1425,"R",26,"R",42,"R",0
100751, 2,"R",31958,"R",2177,"R",5683,"R",24098,"R",1412,"R",728,"R",12,"R",25,"R",0
100751, 3,"R",31005,"R",1562,"R",5665,"R",23778,"R",856,"R",671,"R",11,"R",24,"R",0
