UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5333,"R",26,"R",508,"R",4799,"R",21,"R",5,"Z",0,"Z",0,"R",0
100654, 2,"R",4210,"R",26,"R",440,"R",3744,"R",21,"R",5,"Z",0,"Z",0,"R",0
100654, 3,"R",4206,"R",25,"R",440,"R",3741,"R",21,"R",4,"Z",0,"Z",0,"R",0
100654,11,"R",4,"R",1,"R",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"R",0
100654,12,"R",1123,"R",0,"R",68,"R",1055,"A",,"A",,"A",,"A",,"A",
100663, 1,"R",18698,"R",3680,"R",4610,"R",10408,"R",2429,"R",1224,"R",0,"R",27,"R",0
100663, 2,"R",11679,"R",1264,"R",3955,"R",6460,"R",1089,"R",171,"R",0,"R",4,"R",0
100663, 3,"R",11383,"R",1216,"R",3929,"R",6238,"R",1043,"R",169,"R",0,"R",4,"R",0
100663,11,"R",296,"R",48,"R",26,"R",222,"R",46,"R",2,"R",0,"R",0,"R",0
100663,12,"R",7019,"R",2416,"R",655,"R",3948,"R",1340,"R",1053,"R",0,"R",23,"R",0
100690, 1,"R",625,"R",625,"A",,"A",,"R",284,"R",337,"Z",0,"R",4,"R",0
100690, 2,"R",291,"R",291,"A",,"A",,"R",172,"R",116,"Z",0,"R",3,"R",0
100690, 3,"R",291,"R",291,"A",,"A",,"R",172,"R",116,"Z",0,"R",3,"R",0
100690,12,"R",334,"R",334,"A",,"A",,"R",112,"R",221,"Z",0,"R",1,"R",0
100706, 1,"R",7348,"R",269,"R",504,"R",6575,"R",226,"R",43,"Z",0,"Z",0,"R",0
100706, 2,"R",5618,"R",40,"R",334,"R",5244,"R",35,"R",5,"Z",0,"Z",0,"R",0
100706, 3,"R",5451,"R",39,"R",332,"R",5080,"R",34,"R",5,"Z",0,"Z",0,"R",0
100706,11,"R",167,"R",1,"R",2,"R",164,"R",1,"R",0,"Z",0,"Z",0,"R",0
100706,12,"R",1730,"R",229,"R",170,"R",1331,"R",191,"R",38,"Z",0,"Z",0,"R",0
100724, 1,"R",5519,"R",88,"R",1588,"R",3843,"R",59,"R",29,"Z",0,"Z",0,"R",0
100724, 2,"R",4812,"R",5,"R",1384,"R",3423,"R",4,"R",1,"Z",0,"Z",0,"R",0
100724, 3,"R",4811,"R",5,"R",1384,"R",3422,"R",4,"R",1,"Z",0,"Z",0,"R",0
100724,11,"R",1,"R",0,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",
100724,12,"R",707,"R",83,"R",204,"R",420,"R",55,"R",28,"Z",0,"Z",0,"R",0
100751, 1,"R",36047,"R",3082,"R",6237,"R",26728,"R",1609,"R",1406,"R",20,"R",47,"R",0
100751, 2,"R",30752,"R",1810,"R",5720,"R",23222,"R",1135,"R",641,"R",11,"R",23,"R",0
100751, 3,"R",29851,"R",1418,"R",5704,"R",22729,"R",785,"R",599,"R",11,"R",23,"R",0
100751,11,"R",901,"R",392,"R",16,"R",493,"R",350,"R",42,"Z",0,"Z",0,"R",0
100751,12,"R",5295,"R",1272,"R",517,"R",3506,"R",474,"R",765,"R",9,"R",24,"R",0
100760, 1,"R",1726,"R",74,"R",436,"R",1216,"R",74,"R",0,"R",0,"R",0,"R",0
100760, 2,"R",1726,"R",74,"R",436,"R",1216,"R",74,"R",0,"R",0,"R",0,"R",0
100760, 3,"R",1592,"R",72,"R",433,"R",1087,"R",72,"R",0,"R",0,"R",0,"R",0
100760,11,"R",134,"R",2,"R",3,"R",129,"R",2,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",3128,"R",1643,"R",1109,"R",376,"R",1545,"R",94,"R",0,"R",4,"R",0
100812, 2,"R",3128,"R",1643,"R",1109,"R",376,"R",1545,"R",94,"R",0,"R",4,"R",0
100812, 3,"R",2991,"R",1532,"R",1103,"R",356,"R",1442,"R",86,"R",0,"R",4,"R",0
100812,11,"R",137,"R",111,"R",6,"R",20,"R",103,"R",8,"R",0,"R",0,"R",0
100830, 1,"R",5057,"R",509,"R",1543,"R",3005,"R",478,"R",14,"Z",0,"R",11,"R",6
100830, 2,"R",4377,"R",260,"R",1337,"R",2780,"R",247,"R",10,"Z",0,"R",1,"R",2
