UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",6001,"R",121,"R",993,"R",4887,"R",95,"R",15,"R",11,"Z",0,"R",0
100654, 2,"R",5038,"R",71,"R",843,"R",4124,"R",57,"R",13,"R",1,"Z",0,"R",0
100654, 3,"R",4824,"R",68,"R",834,"R",3922,"R",55,"R",12,"R",1,"Z",0,"R",0
100654,11,"R",214,"R",3,"R",9,"R",202,"R",2,"R",1,"Z",0,"Z",0,"R",0
100654,12,"R",963,"R",50,"R",150,"R",763,"R",38,"R",2,"R",10,"Z",0,"R",0
100663, 1,"R",20902,"R",4917,"R",6492,"R",9493,"R",3342,"R",1554,"Z",0,"R",21,"R",0
100663, 2,"R",13134,"R",1978,"R",5601,"R",5555,"R",1621,"R",357,"Z",0,"Z",0,"R",0
100663, 3,"R",12866,"R",1943,"R",5565,"R",5358,"R",1586,"R",357,"Z",0,"Z",0,"R",0
100663,11,"R",268,"R",35,"R",36,"R",197,"R",35,"Z",0,"Z",0,"Z",0,"R",0
100663,12,"R",7768,"R",2939,"R",891,"R",3938,"R",1721,"R",1197,"Z",0,"R",21,"R",0
100690, 1,"R",675,"R",675,"A",,"A",,"R",386,"R",289,"Z",0,"Z",0,"R",0
100690, 2,"R",322,"R",322,"A",,"A",,"R",227,"R",95,"Z",0,"Z",0,"R",0
100690, 3,"R",322,"R",322,"A",,"A",,"R",227,"R",95,"Z",0,"Z",0,"R",0
100690,12,"R",353,"R",353,"A",,"A",,"R",159,"R",194,"Z",0,"Z",0,"R",0
100706, 1,"R",9101,"R",497,"R",1302,"R",7302,"R",341,"R",156,"R",0,"R",0,"R",0
100706, 2,"R",7090,"R",114,"R",884,"R",6092,"R",96,"R",18,"R",0,"R",0,"R",0
100706, 3,"R",6917,"R",109,"R",882,"R",5926,"R",94,"R",15,"R",0,"R",0,"R",0
100706,11,"R",173,"R",5,"R",2,"R",166,"R",2,"R",3,"R",0,"R",0,"R",0
100706,12,"R",2011,"R",383,"R",418,"R",1210,"R",245,"R",138,"R",0,"R",0,"R",0
100724, 1,"R",4760,"R",395,"R",331,"R",4034,"R",294,"R",101,"R",0,"R",0,"R",0
100724, 2,"R",4208,"R",334,"R",272,"R",3602,"R",237,"R",97,"R",0,"R",0,"R",0
100724, 3,"R",4189,"R",334,"R",272,"R",3583,"R",237,"R",97,"R",0,"R",0,"R",0
100724,11,"R",19,"R",0,"R",0,"R",19,"A",,"A",,"A",,"A",,"A",
100724,12,"R",552,"R",61,"R",59,"R",432,"R",57,"R",4,"R",0,"R",0,"R",0
100751, 1,"R",38563,"R",4100,"R",7597,"R",26866,"R",2218,"R",1085,"R",22,"R",775,"R",0
100751, 2,"R",33305,"R",2580,"R",6940,"R",23785,"R",1606,"R",547,"R",10,"R",417,"R",0
100751, 3,"R",32387,"R",1848,"R",6926,"R",23613,"R",933,"R",535,"R",10,"R",370,"R",0
100751,11,"R",918,"R",732,"R",14,"R",172,"R",673,"R",12,"Z",0,"R",47,"R",0
100751,12,"R",5258,"R",1520,"R",657,"R",3081,"R",612,"R",538,"R",12,"R",358,"R",0
100760, 1,"R",1835,"R",108,"R",663,"R",1064,"R",106,"R",1,"R",0,"R",0,"R",1
100760, 2,"R",1835,"R",108,"R",663,"R",1064,"R",106,"R",1,"R",0,"R",0,"R",1
100760, 3,"R",1404,"R",83,"R",591,"R",730,"R",81,"R",1,"R",0,"R",0,"R",1
100760,11,"R",431,"R",25,"R",72,"R",334,"R",25,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",3114,"R",1951,"R",849,"R",314,"R",1836,"R",113,"R",0,"R",2,"R",0
100812, 2,"R",2967,"R",1807,"R",846,"R",314,"R",1707,"R",98,"R",0,"R",2,"R",0
100812, 3,"R",2801,"R",1667,"R",836,"R",298,"R",1574,"R",91,"R",0,"R",2,"R",0
100812,11,"R",166,"R",140,"R",10,"R",16,"R",133,"R",7,"R",0,"R",0,"R",0
100812,12,"R",147,"R",144,"R",3,"R",0,"R",129,"R",15,"R",0,"R",0,"R",0
100830, 1,"R",4894,"R",403,"R",1516,"R",2975,"R",370,"R",22,"Z",0,"Z",0,"R",11
100830, 2,"R",4313,"R",253,"R",1374,"R",2686,"R",237,"R",14,"Z",0,"Z",0,"R",2
100830, 3,"R",4211,"R",237,"R",1368,"R",2606,"R",222,"R",13,"Z",0,"Z",0,"R",2
100830,11,"R",102,"R",16,"R",6,"R",80,"R",15,"R",1,"Z",0,"Z",0,"R",0
100830,12,"R",581,"R",150,"R",142,"R",289,"R",133,"R",8,"Z",0,"Z",0,"R",9
100858, 1,"R",29776,"R",1260,"R",5010,"R",23506,"R",513,"R",726,"Z",0,"R",21,"R",0
100858, 2,"R",23964,"R",124,"R",4634,"R",19206,"R",58,"R",66,"Z",0,"Z",0,"R",0
100858, 3,"R",23391,"R",124,"R",4633,"R",18634,"R",58,"R",66,"Z",0,"Z",0,"R",0
100858,11,"R",573,"R",0,"R",1,"R",572,"A",,"A",,"A",,"A",,"A",
100858,12,"R",5812,"R",1136,"R",376,"R",4300,"R",455,"R",660,"Z",0,"R",21,"R",0
100937, 1,"R",1283,"A",,"A",,"R",1283,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",1283,"A",,"A",,"R",1283,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",1283,"A",,"A",,"R",1283,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1424,"R",33,"R",312,"R",1079,"R",20,"R",13,"R",0,"R",0,"R",0
101028, 2,"R",1424,"R",33,"R",312,"R",1079,"R",20,"R",13,"R",0,"R",0,"R",0
101028, 3,"R",1370,"R",32,"R",307,"R",1031,"R",19,"R",13,"R",0,"R",0,"R",0
101028,11,"R",54,"R",1,"R",5,"R",48,"R",1,"R",0,"R",0,"R",0,"R",0
101073, 1,"R",389,"R",0,"R",60,"R",329,"A",,"A",,"A",,"A",,"A",
101073, 2,"R",389,"R",0,"R",60,"R",329,"A",,"A",,"A",,"A",,"A",
101073, 3,"R",389,"R",0,"R",60,"R",329,"A",,"A",,"A",,"A",,"A",
101116, 1,"R",453,"Z",0,"R",145,"R",308,"A",,"A",,"A",,"A",,"A",
101116, 2,"R",369,"Z",0,"R",111,"R",258,"A",,"A",,"A",,"A",,"A",
101116, 3,"R",369,"Z",0,"R",111,"R",258,"A",,"A",,"A",,"A",,"A",
101116,12,"R",84,"Z",0,"R",34,"R",50,"A",,"A",,"A",,"A",,"A",
101143, 1,"R",1778,"R",210,"R",445,"R",1123,"R",207,"R",3,"R",0,"R",0,"R",0
101143, 2,"R",1778,"R",210,"R",445,"R",1123,"R",207,"R",3,"R",0,"R",0,"R",0
101143, 3,"R",1365,"R",145,"R",394,"R",826,"R",142,"R",3,"R",0,"R",0,"R",0
101143,11,"R",413,"R",65,"R",51,"R",297,"R",65,"R",0,"R",0,"R",0,"R",0
101161, 1,"R",4968,"R",69,"R",712,"R",4187,"R",68,"R",1,"R",0,"R",0,"R",0
101161, 2,"R",4968,"R",69,"R",712,"R",4187,"R",68,"R",1,"R",0,"R",0,"R",0
101161, 3,"R",4101,"R",69,"R",712,"R",3320,"R",68,"R",1,"R",0,"R",0,"R",0
101161,11,"R",867,"R",0,"R",0,"R",867,"A",,"A",,"A",,"A",,"A",
101189, 1,"R",3350,"R",993,"R",709,"R",1648,"R",834,"R",154,"R",1,"R",4,"R",0
101189, 2,"R",2672,"R",612,"R",643,"R",1417,"R",560,"R",51,"R",1,"R",0,"R",0
101189, 3,"R",2272,"R",595,"R",640,"R",1037,"R",545,"R",49,"R",1,"R",0,"R",0
101189,11,"R",400,"R",17,"R",3,"R",380,"R",15,"R",2,"R",0,"R",0,"R",0
101189,12,"R",678,"R",381,"R",66,"R",231,"R",274,"R",103,"R",0,"R",4,"R",0
101240, 1,"R",4979,"R",598,"R",1650,"R",2731,"R",589,"R",9,"R",0,"R",0,"R",0
101240, 2,"R",4979,"R",598,"R",1650,"R",2731,"R",589,"R",9,"R",0,"R",0,"R",0
101240, 3,"R",4349,"R",488,"R",1576,"R",2285,"R",480,"R",8,"R",0,"R",0,"R",0
101240,11,"R",630,"R",110,"R",74,"R",446,"R",109,"R",1,"R",0,"R",0,"R",0
101277, 1,"R",83,"A",,"A",,"R",83,"A",,"A",,"A",,"A",,"A",
101277, 2,"R",83,"A",,"A",,"R",83,"A",,"A",,"A",,"A",,"A",
101286, 1,"R",4645,"R",256,"R",648,"R",3741,"R",244,"R",12,"R",0,"R",0,"R",0
101286, 2,"R",4645,"R",256,"R",648,"R",3741,"R",244,"R",12,"R",0,"R",0,"R",0
