UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
113096, 2,"R",14010,"R",1583,"R",1651,"R",10776,"R",1581,"R",0,"R",2,"R",0,"R",0
113096, 3,"R",13001,"R",1433,"R",1625,"R",9943,"R",1431,"R",0,"R",2,"R",0,"R",0
113096,11,"R",1009,"R",150,"R",26,"R",833,"R",150,"R",0,"R",0,"R",0,"R",0
113111, 1,"R",5937,"R",429,"R",908,"R",4600,"R",419,"R",0,"R",10,"R",0,"R",0
113111, 2,"R",5937,"R",429,"R",908,"R",4600,"R",419,"R",0,"R",10,"R",0,"R",0
113111, 3,"R",5058,"R",366,"R",853,"R",3839,"R",358,"R",0,"R",8,"R",0,"R",0
113111,11,"R",879,"R",63,"R",55,"R",761,"R",61,"R",0,"R",2,"R",0,"R",0
113193, 1,"R",10232,"R",1009,"R",1487,"R",7736,"R",995,"R",7,"R",3,"R",4,"R",0
113193, 2,"R",10232,"R",1009,"R",1487,"R",7736,"R",995,"R",7,"R",3,"R",4,"R",0
113193, 3,"R",7755,"R",857,"R",1449,"R",5449,"R",844,"R",7,"R",2,"R",4,"R",0
113193,11,"R",2477,"R",152,"R",38,"R",2287,"R",151,"R",0,"R",1,"R",0,"R",0
113218, 1,"R",9738,"R",1570,"R",1411,"R",6757,"R",1539,"R",0,"R",14,"R",17,"R",0
113218, 2,"R",9738,"R",1570,"R",1411,"R",6757,"R",1539,"R",0,"R",14,"R",17,"R",0
113218, 3,"R",8049,"R",1384,"R",1359,"R",5306,"R",1356,"R",0,"R",12,"R",16,"R",0
113218,11,"R",1689,"R",186,"R",52,"R",1451,"R",183,"R",0,"R",2,"R",1,"R",0
113236, 1,"R",15941,"R",1396,"R",2966,"R",11579,"R",1392,"R",1,"R",3,"R",0,"R",0
113236, 2,"R",15941,"R",1396,"R",2966,"R",11579,"R",1392,"R",1,"R",3,"R",0,"R",0
113236, 3,"R",14882,"R",1216,"R",2924,"R",10742,"R",1213,"R",1,"R",2,"R",0,"R",0
113236,11,"R",1059,"R",180,"R",42,"R",837,"R",179,"R",0,"R",1,"R",0,"R",0
113333, 1,"R",21716,"R",1425,"R",3462,"R",16829,"R",1359,"R",0,"R",44,"R",22,"R",0
113333, 2,"R",21716,"R",1425,"R",3462,"R",16829,"R",1359,"R",0,"R",44,"R",22,"R",0
113333, 3,"R",19275,"R",1251,"R",3389,"R",14635,"R",1196,"R",0,"R",35,"R",20,"R",0
113333,11,"R",2441,"R",174,"R",73,"R",2194,"R",163,"R",0,"R",9,"R",2,"R",0
113449, 1,"R",172,"A",,"A",,"R",172,"A",,"A",,"A",,"A",,"A",
113449, 2,"R",172,"A",,"A",,"R",172,"A",,"A",,"A",,"A",,"A",
113537, 1,"R",47,"A",,"A",,"R",47,"A",,"A",,"A",,"A",,"A",
113537, 2,"R",19,"A",,"A",,"R",19,"A",,"A",,"A",,"A",,"A",
113537, 3,"R",19,"A",,"A",,"R",19,"A",,"A",,"A",,"A",,"A",
113537,12,"R",28,"A",,"A",,"R",28,"A",,"A",,"A",,"A",,"A",
113573, 1,"R",10792,"R",642,"R",2086,"R",8064,"R",640,"R",1,"R",0,"R",1,"R",0
113573, 2,"R",10792,"R",642,"R",2086,"R",8064,"R",640,"R",1,"R",0,"R",1,"R",0
113573, 3,"R",9603,"R",501,"R",1999,"R",7103,"R",500,"R",1,"R",0,"R",0,"R",0
113573,11,"R",1189,"R",141,"R",87,"R",961,"R",140,"R",0,"R",0,"R",1,"R",0
113582, 1,"R",143,"A",,"A",,"R",143,"A",,"A",,"A",,"A",,"A",
113582, 2,"R",143,"A",,"A",,"R",143,"A",,"A",,"A",,"A",,"A",
113582, 3,"R",143,"A",,"A",,"R",143,"A",,"A",,"A",,"A",,"A",
113634, 1,"R",19419,"R",1716,"R",3554,"R",14149,"R",1666,"R",0,"R",34,"R",16,"R",0
113634, 2,"R",19419,"R",1716,"R",3554,"R",14149,"R",1666,"R",0,"R",34,"R",16,"R",0
113634, 3,"R",17721,"R",1458,"R",3460,"R",12803,"R",1418,"R",0,"R",25,"R",15,"R",0
113634,11,"R",1698,"R",258,"R",94,"R",1346,"R",248,"R",0,"R",9,"R",1,"R",0
113698, 1,"R",1835,"A",,"A",,"R",1835,"A",,"A",,"A",,"A",,"A",
113698, 2,"R",1388,"A",,"A",,"R",1388,"A",,"A",,"A",,"A",,"A",
113698, 3,"R",1374,"A",,"A",,"R",1374,"A",,"A",,"A",,"A",,"A",
113698,11,"R",14,"A",,"A",,"R",14,"A",,"A",,"A",,"A",,"A",
113698,12,"R",447,"A",,"A",,"R",447,"A",,"A",,"A",,"A",,"A",
113704, 1,"R",58,"R",0,"R",2,"R",56,"A",,"A",,"A",,"A",,"A",
113704,12,"R",58,"R",0,"R",2,"R",56,"A",,"A",,"A",,"A",,"A",
113856, 1,"R",36970,"R",1083,"R",2163,"R",33724,"R",1071,"R",0,"R",5,"R",7,"R",0
113856, 2,"R",36970,"R",1083,"R",2163,"R",33724,"R",1071,"R",0,"R",5,"R",7,"R",0
113856, 3,"R",31670,"R",948,"R",2113,"R",28609,"R",938,"R",0,"R",4,"R",6,"R",0
113856,11,"R",5300,"R",135,"R",50,"R",5115,"R",133,"R",0,"R",1,"R",1,"R",0
113980, 1,"R",24033,"R",1230,"R",2462,"R",20341,"R",1208,"R",0,"R",16,"R",6,"R",0
113980, 2,"R",24033,"R",1230,"R",2462,"R",20341,"R",1208,"R",0,"R",16,"R",6,"R",0
113980, 3,"R",21643,"R",1087,"R",2427,"R",18129,"R",1069,"R",0,"R",13,"R",5,"R",0
113980,11,"R",2390,"R",143,"R",35,"R",2212,"R",139,"R",0,"R",3,"R",1,"R",0
114044, 1,"R",453,"A",,"A",,"R",453,"A",,"A",,"A",,"A",,"A",
114044, 2,"R",453,"A",,"A",,"R",453,"A",,"A",,"A",,"A",,"A",
114114, 1,"R",232,"A",,"A",,"R",232,"A",,"A",,"A",,"A",,"A",
114114,12,"R",232,"A",,"A",,"R",232,"A",,"A",,"A",,"A",,"A",
114123, 1,"R",457,"A",,"A",,"R",457,"A",,"A",,"A",,"A",,"A",
114123, 2,"R",361,"A",,"A",,"R",361,"A",,"A",,"A",,"A",,"A",
114123, 3,"R",361,"A",,"A",,"R",361,"A",,"A",,"A",,"A",,"A",
114123,12,"R",96,"A",,"A",,"R",96,"A",,"A",,"A",,"A",,"A",
114266, 1,"R",9092,"R",474,"R",908,"R",7710,"R",470,"R",0,"R",2,"R",2,"R",0
114266, 2,"R",9092,"R",474,"R",908,"R",7710,"R",470,"R",0,"R",2,"R",2,"R",0
114266, 3,"R",7464,"R",364,"R",868,"R",6232,"R",360,"R",0,"R",2,"R",2,"R",0
114266,11,"R",1628,"R",110,"R",40,"R",1478,"R",110,"R",0,"R",0,"R",0,"R",0
114354, 1,"R",2624,"R",111,"R",435,"R",2078,"R",92,"R",18,"R",0,"R",1,"R",0
114354, 2,"R",2624,"R",111,"R",435,"R",2078,"R",92,"R",18,"R",0,"R",1,"R",0
114354, 3,"R",2624,"R",111,"R",435,"R",2078,"R",92,"R",18,"R",0,"R",1,"R",0
114390, 1,"R",332,"R",8,"R",66,"R",258,"R",8,"R",0,"R",0,"R",0,"R",0
114390, 2,"R",332,"R",8,"R",66,"R",258,"R",8,"R",0,"R",0,"R",0,"R",0
114390, 3,"R",332,"R",8,"R",66,"R",258,"R",8,"R",0,"R",0,"R",0,"R",0
114415, 1,"R",103,"R",0,"R",2,"R",101,"A",,"A",,"A",,"A",,"A",
114415, 2,"R",103,"R",0,"R",2,"R",101,"A",,"A",,"A",,"A",,"A",
114415, 3,"R",103,"R",0,"R",2,"R",101,"A",,"A",,"A",,"A",,"A",
114433, 1,"R",1973,"R",503,"R",187,"R",1283,"R",497,"R",6,"R",0,"R",0,"R",0
114433, 2,"R",1973,"R",503,"R",187,"R",1283,"R",497,"R",6,"R",0,"R",0,"R",0
114433, 3,"R",1413,"R",498,"R",185,"R",730,"R",493,"R",5,"R",0,"R",0,"R",0
114433,11,"R",560,"R",5,"R",2,"R",553,"R",4,"R",1,"R",0,"R",0,"R",0
114460, 1,"R",270,"A",,"A",,"R",270,"A",,"A",,"A",,"A",,"A",
114460, 2,"R",270,"A",,"A",,"R",270,"A",,"A",,"A",,"A",,"A",
114549, 1,"R",1046,"R",106,"R",902,"R",38,"R",28,"R",69,"R",0,"R",9,"R",0
114549,12,"R",1046,"R",106,"R",902,"R",38,"R",28,"R",69,"R",0,"R",9,"R",0
114585, 1,"R",336,"A",,"A",,"R",336,"A",,"A",,"A",,"A",,"A",
114585,12,"R",336,"A",,"A",,"R",336,"A",,"A",,"A",,"A",,"A",
114628, 1,"R",14,"A",,"A",,"R",14,"A",,"A",,"A",,"A",,"A",
114628, 2,"R",14,"A",,"A",,"R",14,"A",,"A",,"A",,"A",,"A",
114637, 1,"R",16,"A",,"A",,"R",16,"A",,"A",,"A",,"A",,"A",
114637, 2,"R",16,"A",,"A",,"R",16,"A",,"A",,"A",,"A",,"A",
114716, 1,"R",15369,"R",4162,"R",2996,"R",8211,"R",3908,"R",0,"R",181,"R",73,"R",0
114716, 2,"R",15369,"R",4162,"R",2996,"R",8211,"R",3908,"R",0,"R",181,"R",73,"R",0
