UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5020,"R",0,"R",820,"R",4200,"A",,"A",,"A",,"A",,"A",
100654, 2,"R",4051,"R",0,"R",795,"R",3256,"A",,"A",,"A",,"A",,"A",
100654, 3,"R",4051,"R",0,"R",795,"R",3256,"A",,"A",,"A",,"A",,"A",
100654,12,"R",969,"R",0,"R",25,"R",944,"A",,"A",,"A",,"A",,"A",
100663, 1,"R",18568,"R",3455,"R",4405,"R",10708,"R",2241,"R",1186,"R",3,"R",25,"R",0
100663, 2,"R",11502,"R",1107,"R",3743,"R",6652,"R",953,"R",146,"R",1,"R",7,"R",0
100663, 3,"R",11200,"R",1042,"R",3708,"R",6450,"R",893,"R",143,"R",1,"R",5,"R",0
100663,11,"R",302,"R",65,"R",35,"R",202,"R",60,"R",3,"R",0,"R",2,"R",0
100663,12,"R",7066,"R",2348,"R",662,"R",4056,"R",1288,"R",1040,"R",2,"R",18,"R",0
100690, 1,"R",631,"R",631,"R",0,"R",0,"R",297,"R",327,"R",0,"R",0,"R",7
100690, 2,"R",322,"R",322,"R",0,"R",0,"R",178,"R",143,"R",0,"R",0,"R",1
100690, 3,"R",322,"R",322,"R",0,"R",0,"R",178,"R",143,"R",0,"R",0,"R",1
100690,12,"R",309,"R",309,"R",0,"R",0,"R",119,"R",184,"R",0,"R",0,"R",6
100706, 1,"R",7376,"R",236,"R",419,"R",6721,"R",206,"R",30,"Z",0,"Z",0,"R",0
100706, 2,"R",5696,"R",52,"R",236,"R",5408,"R",47,"R",5,"Z",0,"Z",0,"R",0
100706, 3,"R",5525,"R",49,"R",234,"R",5242,"R",44,"R",5,"Z",0,"Z",0,"R",0
100706,11,"R",171,"R",3,"R",2,"R",166,"R",3,"R",0,"Z",0,"Z",0,"R",0
100706,12,"R",1680,"R",184,"R",183,"R",1313,"R",159,"R",25,"Z",0,"Z",0,"R",0
100724, 1,"R",6075,"R",92,"R",1360,"R",4623,"R",65,"R",27,"Z",0,"Z",0,"R",0
100724, 2,"R",5356,"R",30,"R",1135,"R",4191,"R",24,"R",6,"Z",0,"Z",0,"R",0
100724, 3,"R",5354,"R",30,"R",1134,"R",4190,"R",24,"R",6,"Z",0,"Z",0,"R",0
100724,11,"R",2,"Z",0,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",
100724,12,"R",719,"R",62,"R",225,"R",432,"R",41,"R",21,"Z",0,"Z",0,"R",0
100751, 1,"R",34752,"R",3282,"R",5464,"R",26006,"R",1730,"R",1495,"R",9,"R",48,"R",0
100751, 2,"R",29440,"R",1806,"R",5101,"R",22533,"R",1131,"R",646,"R",6,"R",23,"R",0
100751, 3,"R",28692,"R",1463,"R",5083,"R",22146,"R",829,"R",606,"R",5,"R",23,"R",0
100751,11,"R",748,"R",343,"R",18,"R",387,"R",302,"R",40,"R",1,"R",0,"R",0
100751,12,"R",5312,"R",1476,"R",363,"R",3473,"R",599,"R",849,"R",3,"R",25,"R",0
100760, 1,"R",1906,"R",95,"R",466,"R",1345,"R",95,"Z",0,"Z",0,"Z",0,"R",0
100760, 2,"R",1906,"R",95,"R",466,"R",1345,"R",95,"Z",0,"Z",0,"Z",0,"R",0
100760, 3,"R",1779,"R",92,"R",462,"R",1225,"R",92,"Z",0,"Z",0,"Z",0,"R",0
100760,11,"R",127,"R",3,"R",4,"R",120,"R",3,"Z",0,"Z",0,"Z",0,"R",0
100812, 1,"R",3170,"R",1633,"R",1118,"R",419,"R",1560,"R",72,"R",0,"R",1,"R",0
100812, 2,"R",3170,"R",1633,"R",1118,"R",419,"R",1560,"R",72,"R",0,"R",1,"R",0
100812, 3,"R",2999,"R",1490,"R",1112,"R",397,"R",1423,"R",66,"R",0,"R",1,"R",0
100812,11,"R",171,"R",143,"R",6,"R",22,"R",137,"R",6,"R",0,"R",0,"R",0
100830, 1,"R",5084,"R",367,"R",1647,"R",3070,"R",347,"R",18,"R",2,"Z",0,"R",0
100830, 2,"R",4322,"R",206,"R",1382,"R",2734,"R",195,"R",10,"R",1,"Z",0,"R",0
100830, 3,"R",4322,"R",206,"R",1382,"R",2734,"R",195,"R",10,"R",1,"Z",0,"R",0
100830,12,"R",762,"R",161,"R",265,"R",336,"R",152,"R",8,"R",1,"Z",0,"R",0
100858, 1,"R",24864,"R",670,"R",1940,"R",22254,"R",241,"R",418,"R",1,"R",10,"R",0
100858, 2,"R",19799,"R",29,"R",1821,"R",17949,"R",17,"R",11,"R",0,"R",1,"R",0
100858, 3,"R",19761,"R",29,"R",1821,"R",17911,"R",17,"R",11,"R",0,"R",1,"R",0
100858,11,"R",38,"R",0,"R",0,"R",38,"A",,"A",,"A",,"A",,"A",
100858,12,"R",5065,"R",641,"R",119,"R",4305,"R",224,"R",407,"R",1,"R",9,"R",0
100937, 1,"R",1188,"A",,"A",,"R",1188,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",1188,"A",,"A",,"R",1188,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",1181,"A",,"A",,"R",1181,"A",,"A",,"A",,"A",,"A",
100937,11,"R",7,"A",,"A",,"R",7,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1837,"R",17,"R",257,"R",1563,"R",11,"R",6,"R",0,"R",0,"R",0
101028, 2,"R",1837,"R",17,"R",257,"R",1563,"R",11,"R",6,"R",0,"R",0,"R",0
101028, 3,"R",1769,"R",15,"R",256,"R",1498,"R",9,"R",6,"R",0,"R",0,"R",0
101028,11,"R",68,"R",2,"R",1,"R",65,"R",2,"R",0,"R",0,"R",0,"R",0
101073, 1,"R",600,"R",0,"R",57,"R",543,"A",,"A",,"A",,"A",,"A",
101073, 2,"R",600,"R",0,"R",57,"R",543,"A",,"A",,"A",,"A",,"A",
101073, 3,"R",523,"R",0,"R",44,"R",479,"A",,"A",,"A",,"A",,"A",
101073,11,"R",77,"R",0,"R",13,"R",64,"A",,"A",,"A",,"A",,"A",
101116, 1,"R",682,"Z",0,"R",207,"R",475,"A",,"A",,"A",,"A",,"A",
101116, 2,"R",599,"Z",0,"R",181,"R",418,"A",,"A",,"A",,"A",,"A",
101116, 3,"R",599,"Z",0,"R",181,"R",418,"A",,"A",,"A",,"A",,"A",
101116,12,"R",83,"Z",0,"R",26,"R",57,"A",,"A",,"A",,"A",,"A",
101143, 1,"R",2333,"R",137,"R",395,"R",1801,"R",134,"R",3,"R",0,"R",0,"R",0
101143, 2,"R",2333,"R",137,"R",395,"R",1801,"R",134,"R",3,"R",0,"R",0,"R",0
101143, 3,"R",1984,"R",106,"R",358,"R",1520,"R",103,"R",3,"R",0,"R",0,"R",0
101143,11,"R",349,"R",31,"R",37,"R",281,"R",31,"R",0,"R",0,"R",0,"R",0
101161, 1,"R",4362,"R",241,"R",986,"R",3135,"R",230,"R",11,"R",0,"R",0,"R",0
101161, 2,"R",4362,"R",241,"R",986,"R",3135,"R",230,"R",11,"R",0,"R",0,"R",0
101161, 3,"R",4182,"R",218,"R",976,"R",2988,"R",210,"R",8,"R",0,"R",0,"R",0
101161,11,"R",180,"R",23,"R",10,"R",147,"R",20,"R",3,"R",0,"R",0,"R",0
101189, 1,"R",3193,"R",325,"R",974,"R",1894,"R",286,"R",38,"Z",0,"R",1,"R",0
101189, 2,"R",2617,"R",171,"R",870,"R",1576,"R",167,"R",4,"Z",0,"Z",0,"R",0
101189, 3,"R",2358,"R",167,"R",870,"R",1321,"R",163,"R",4,"Z",0,"Z",0,"R",0
101189,11,"R",259,"R",4,"Z",0,"R",255,"R",4,"Z",0,"Z",0,"Z",0,"R",0
101189,12,"R",576,"R",154,"R",104,"R",318,"R",119,"R",34,"Z",0,"R",1,"R",0
101240, 1,"R",5797,"R",447,"R",1522,"R",3828,"R",422,"R",25,"R",0,"R",0,"R",0
101240, 2,"R",5797,"R",447,"R",1522,"R",3828,"R",422,"R",25,"R",0,"R",0,"R",0
101240, 3,"R",5480,"R",415,"R",1489,"R",3576,"R",391,"R",24,"R",0,"R",0,"R",0
101240,11,"R",317,"R",32,"R",33,"R",252,"R",31,"R",1,"R",0,"R",0,"R",0
101277, 1,"R",89,"R",0,"R",0,"R",89,"A",,"A",,"A",,"A",,"A",
101277, 2,"R",89,"R",0,"R",0,"R",89,"A",,"A",,"A",,"A",,"A",
101286, 1,"R",4686,"R",199,"R",637,"R",3850,"R",188,"R",11,"R",0,"R",0,"R",0
101286, 2,"R",4686,"R",199,"R",637,"R",3850,"R",188,"R",11,"R",0,"R",0,"R",0
101286, 3,"R",4293,"R",175,"R",631,"R",3487,"R",166,"R",9,"R",0,"R",0,"R",0
101286,11,"R",393,"R",24,"R",6,"R",363,"R",22,"R",2,"R",0,"R",0,"R",0
101295, 1,"R",5281,"R",477,"R",1642,"R",3162,"R",470,"R",5,"R",2,"R",0,"R",0
101295, 2,"R",5281,"R",477,"R",1642,"R",3162,"R",470,"R",5,"R",2,"R",0,"R",0
101295, 3,"R",4904,"R",458,"R",1621,"R",2825,"R",451,"R",5,"R",2,"R",0,"R",0
101295,11,"R",377,"R",19,"R",21,"R",337,"R",19,"R",0,"R",0,"R",0,"R",0
101301, 1,"R",1745,"R",369,"R",555,"R",821,"R",367,"R",2,"R",0,"R",0,"R",0
101301, 2,"R",1745,"R",369,"R",555,"R",821,"R",367,"R",2,"R",0,"R",0,"R",0
101301, 3,"R",1604,"R",260,"R",552,"R",792,"R",258,"R",2,"R",0,"R",0,"R",0
101301,11,"R",141,"R",109,"R",3,"R",29,"R",109,"R",0,"R",0,"R",0,"R",0
101365, 1,"R",320,"R",55,"R",27,"R",238,"R",54,"R",1,"Z",0,"Z",0,"R",0
101365, 2,"R",320,"R",55,"R",27,"R",238,"R",54,"R",1,"Z",0,"Z",0,"R",0
101365, 3,"R",318,"R",55,"R",26,"R",237,"R",54,"R",1,"Z",0,"Z",0,"R",0
101365,11,"R",2,"Z",0,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",
101435, 1,"R",1110,"Z",0,"Z",0,"R",1110,"A",,"A",,"A",,"A",,"A",
